country,year,value
Afghanistan ,2004,59.3
Albania,2005,27
Albania,2000,39.2
Algeria,2002,21.6
Algeria,2000,23.6
Algeria,1995,22.5
Angola,2001,50.8
Angola,1996,61.7
Argentina,2005,8.2
Armenia,2005,18.2
Armenia,2001,17.7
Armenia,1998,15.1
Azerbaijan,2000,24.1
Bangladesh,2006,47
Bangladesh,2005,47.8
Bangladesh,2004,50.5
Bangladesh,2003,49.8
Bangladesh,2002,53.5
Bangladesh,2001,55.4
Bangladesh,2000,57.2
Bangladesh,1999,62.4
Bangladesh,1998,61.8
Bangladesh,1996,66.5
Bangladesh,1995,68.5
Bangladesh,1994,70.1
Bangladesh,1993,72.1
Bangladesh,1992,74.5
Bangladesh,1991,76.7
Barbados,1981,10.2
Belarus,2005,4.5
Belize,2006,22.2
Benin,2006,44.7
Benin,2001,39.1
Bhutan,1999,47.7
Bolivia (Plurinational State of),2004,32.5
Bolivia (Plurinational State of),1998,33.1
Bolivia (Plurinational State of),1994,35.2
Bolivia (Plurinational State of),1989,41.7
Bosnia and Herzegovina,2006,11.8
Bosnia and Herzegovina,2000,12.1
Botswana,2000,29.1
Brazil,2007,7.1
Brazil,1996,13.5
Bulgaria,2004,8.8
Burkina Faso,2003,43.1
Burkina Faso,1999,45.5
Burkina Faso,1993,40.7
Burundi,2000,63.1
Cambodia,2006,43.7
Cambodia,2000,49.2
Cambodia,1996,58.6
Cameroon,2004,35.4
Cameroon,1998,36.7
Cameroon,1991,36.3
Central African Republic,2000,44.6
Central African Republic,1995,40.2
Chad,2004,44.8
Chad,2000,39.3
Chad,1997,45
Chile,2007,2.1
China,2002,21.8
Colombia,2005,16.2
Colombia,2000,18.1
Colombia,1995,19.7
Colombia,1986,25.9
Comoros,2000,46.9
Comoros,1996,41.4
Congo,2005,31.2
C̫te d'Ivoire,2006,40.1
C̫te d'Ivoire,1999,31.5
C̫te d'Ivoire,1994,31.5
Czech Republic,2002,2.6
Democratic People's Republic of Korea,2002,44.7
Democratic Republic of the Congo,2007,45.8
Democratic Republic of the Congo,2001,44.4
Dominican Republic,2002,11.7
Dominican Republic,2000,8
Dominican Republic,1996,13.9
Dominican Republic,1991,21.2
Dominican Republic,1986,22.2
Ecuador,2004,29
Egypt,2005,23.8
Egypt,2003,20.3
Egypt,2000,24.6
Egypt,1996,34.9
Egypt,1993,31.3
El Salvador,2003,24.6
El Salvador,1993,29.5
El Salvador,1988,36.7
Equatorial Guinea,2004,35
Equatorial Guinea,2000,42.6
Eritrea,2002,43.7
Eritrea,1996,44.4
Ethiopia,2005,50.7
Ethiopia,2000,57.4
Gabon,2001,26.3
Gambia,2006,27.6
Gambia,2000,24.1
Ghana,2006,28.1
Ghana,2003,35.6
Ghana,1999,31.3
Ghana,1994,33.5
Ghana,1988,34.7
Guatemala,2002,54.3
Guatemala,1999,53.1
Guatemala,1995,55.4
Guatemala,1987,62.1
Guinea,2005,39.3
Guinea,1999,34.3
Guinea-Bissau,2006,47.7
Guinea-Bissau,2000,36.1
Guyana,2000,13.8
Haiti,2006,29.7
Haiti,2000,28.3
Haiti,1995,37.2
Honduras,2006,29.9
Honduras,2001,34.5
Honduras,1996,43.3
Hungary,1988,3.3
India,2006,47.9
India,1999,51
Indonesia,2004,28.6
Indonesia,2001,41.6
Indonesia,2000,42.4
Iraq,2006,27.5
Iraq,2000,28.3
Jamaica,2004,4.5
Jamaica,2002,6.6
Jamaica,2001,6.4
Jamaica,2000,6.6
Jamaica,1999,6.3
Jamaica,1998,8.3
Jamaica,1997,8.6
Jamaica,1996,11.1
Jamaica,1995,9.5
Jamaica,1994,11.9
Jordan,2002,12
Jordan,1997,11.1
Jordan,1990,20.5
Kazakhstan,2006,17.5
Kazakhstan,1999,13.9
Kenya,2003,35.8
Kenya,2000,41
Kenya,1998,37
Kenya,1993,40.2
Kyrgyzstan,2006,18.1
Kyrgyzstan,1997,32.6
Lao People's Democratic Republic,2000,48.2
Lesotho,2005,45.2
Lesotho,2000,53
Liberia,2007,39.4
Liberia,2000,45.3
Libyan Arab Jamahiriya,1995,20.7
Madagascar,2004,52.8
